country,city,publishedAtDate,stars,text,language,store,service,product,return,brand,price,online,general
Austria,Innsbruck,1/5/2021,5,Habe einen Anzug gekauft und wurde sehr gut und ehrlich beraten. Mir wurde auch gesagt wenn mir etwas nicht steht oder zu eng ist und das lob ich mir.,de,,Positive,Positive,,,,,
Austria,Innsbruck,5/11/2020,5,Alle sehr freundlich 👍 Schönes sauberes Geschäft 👍,de,Positive,Positive,,,,,,
Austria,Innsbruck,5/11/2020,5,sehr freundliche und kompetente Bedienung,de,,Positive,,,,,,
Austria,Innsbruck,29-07-2020,5,Great service! Friendly staff.,en,,Positive,,,,,,
Austria,Innsbruck,25-07-2020,5,Super,id,,,,,,,,Positive
Austria,Innsbruck,4/7/2020,4,Im Schlussverkauf auch für den kleineren Geldbeutel. Super tolle Sachen.,de,,,Positive,,,Positive,,
Austria,Innsbruck,25-02-2020,5,"Freundliche Bedienung, große Auswahl, gute Qualität, feines Ambiente",de,Positive,Positive,Positive,,,,,
Austria,Innsbruck,29-12-2019,5,"Sehr, sehr gut.",de,,,,,,,,Positive
Austria,Innsbruck,16-12-2019,5,Schöne Sachen und freundliche Bedienung,de,,Positive,Positive,,,,,
Austria,Innsbruck,14-11-2019,5,"Sehr fachmännische und freundliche Beratung während des Einkaufs.
Hier macht es Spaß sich neue Anzüge zu kaufen. Danke

Berater Christian ist TOP!",de,,Positive,Positive,,,,,
Austria,Innsbruck,14-10-2019,5,Sehr kompetente Bedienung,de,,Positive,,,,,,
Austria,Innsbruck,20-07-2019,5,Круто,ru,,,,,,,,Positive
Austria,Innsbruck,3/7/2019,5,"Insbruck tolle Lage, nähe Casino.",en,Positive,,,,,,,
Austria,Innsbruck,19-05-2019,5,Sehr freundliches Personal dass einem gut beratet. Ein sehr schönes Geschäft.,de,Positive,Positive,,,,,,
Austria,Innsbruck,16-05-2019,5,"Excellent brand, elegant store and friendly and competent staff. Highly recommended!",en,Positive,Positive,,,Positive,,,
Austria,Innsbruck,5/3/2019,5,Tolles Ambiente! Sehr freundliche und hilfsbereites Team! Eine angenehme Erfahrung,de,Positive,Positive,,,,,,
Austria,Innsbruck,25-01-2019,5,friendly stuff,da,,Positive,,,,,,
Austria,Innsbruck,12/8/2018,5,"Sehr nette Beratung, toller Service. You get treated like a BOSS",en,,Positive,,,Positive,,,
Austria,Innsbruck,30-07-2018,4,Sehr gute freundliche Beratung. Allerdings muss  der richtige Verkäufer  Dienst haben.,de,,Positive,,,,,,
Austria,Innsbruck,4/7/2018,1,Sehr unfreundliche und überhebliche Mitarbeiter trotz Einkauf,de,,Negative,,,,,,
Austria,Innsbruck,1/6/2018,5,Immer einen Besuch wert. Vor allem aufgrund der super Beratung! Darüber hinaus sind die Verkäufer und Verkäuferinnen sehr nett und zuvorkommend. Insgesamt ist das der Hauptgrund für mich dort Stammkunde zu sein.,de,,Positive,,,,,,Positive
Austria,Innsbruck,26-05-2018,5,sehr gute Beratung!,de,,Positive,,,,,,
Austria,Innsbruck,19-05-2018,5,"Super Service.
Werde mich da in Zukuft öfters blicken lassen.",de,,Positive,,,,,,
Austria,Innsbruck,30-04-2018,5,Tolles Geschäft,de,,Positive,,,,,,
Austria,Innsbruck,21-09-2017,5,"Kompeten freundliche Mitarbeiter,sehr freundlich Chef.Sehr schöner Laden",de,Positive,Positive,,,,,,
Austria,Innsbruck,8/2/2017,5,Klassischer Hugo Boss Store in zentraler Lage.,de,Positive,,,,,,,
Austria,Vienna,27-04-2024,5,Einfach nur TOP,de,,,,,,,,Positive
Austria,Vienna,24-04-2024,5,Top Location! Leider mit dem Auto etwas schwierig zu erreichen,de,Neutral,,,,,,,
Austria,Vienna,15-04-2024,5,"Freundlich, sehr gute Beratung, gut Sortiert",de,,Positive,Positive,,,,,
Austria,Vienna,7/4/2024,4,"Überschaubares Angebot, keine wirklichen Outlet Preise, Qualität super, seriöse Bedienung",de,,Positive,Positive,,,Negative,,
Austria,Vienna,20-03-2024,4,Gute auswahl.liegt mitten in der City,de,Positive,,Positive,,,,,
Austria,Vienna,17-03-2024,5,Sehr angenehmer Laden.,de,Positive,,,,,,,
Austria,Vienna,8/3/2024,1,"Die Verkäuferin von der Anzugsabteilung hat uns einfach ignoriert, ist einfach zu dem Kunden gegangen, der für sie anscheinend lukrativer ist. Na dann ich wollte eigentlich schon den Anzug, den ich anprobiert habe, kaufen, aber ich kaufe sicher nicht einen Hochzeitsanzug bei solcher unfreundlichen Verkäuferin. Sie hat dem anderen Kunden gleich am Anfang was zum trinken angeboten, uns hat sie die Mühe gar nicht gemacht, obwohl wir schon länger da sind und einen Hochzeitsanzug kaufen möchte. Diese ungleicher Behandlung der Kunden hinterlässt mir einen sehr schlechten Eindruck vom Boss, nie wieder!",de,,Negative,,,Negative,,,
Austria,Vienna,13-02-2024,5,Sehr Freundliches Personal Super Service 👍 👍 👍 👍 👍,de,,Positive,,,,,,
Austria,Vienna,9/2/2024,5,Schönes Geschäft mit guter und sehr freundlicher Beratung.,de,Positive,Positive,,,,,,
Austria,Vienna,13-01-2024,5,"Really nice shop ,i always find gifts for my parents in this store ,thanks",en,Positive,,,,,,,
Austria,Vienna,9/1/2024,5,Sehr nettes Personal,de,,Positive,,,,,,
Austria,Vienna,19-12-2023,5,Top Produkte danke,id,,,Positive,,,,,
Austria,Vienna,15-12-2023,5,Sehr freundlich und hilfsbereit,de,,Positive,,,,,,
Austria,Vienna,9/12/2023,1,"The employees are friendly, don't get me wrong, but the prices are an absolute joke.
A year ago I bough a cashmere coat, at the Hugo Boss store in Berlin Kurfürstendamm for 500€. (550 with slight changes)

Here they want 200€ for a hat. Like, sorry, but nope.

Never mind the money, here it's getting to be about principle. I'm not paying almost half of what I payed for a great coat for a darn hat.",en,,Positive,Neutral,,,Negative,,
Austria,Vienna,29-11-2023,5,Good collection,en,,,Positive,,,,,
Austria,Vienna,5/10/2023,5,"Sehr eindrucksvoll, die Murales. Ist einen Besuch wert!",de,,,,,,,,Positive
Austria,Vienna,24-09-2023,5,"Great shop located in city center.
Great service and hospitality!!",en,Positive,Positive,,,,,,
Austria,Vienna,23-08-2023,5,Verkäuferin sehr freundlich und hilfsbereit.,de,,Positive,,,,,,
Austria,Vienna,11/7/2023,5,good,so,,,,,,,,Positive
Austria,Vienna,6/7/2023,5,"Toller Laden, Gute Auswahl.
Personal ist einfach top freundlich und hilfsbereit,  bleibt bitte so wie Ihr seid ich komme wieder...",de,Positive,Positive,Positive,,,,,
Austria,Vienna,30-06-2023,1,"Mein Besuch bei Hugo Boss (Kärtnerstraße) war äußerst enttäuschend, insbesondere aufgrund der unfreundlichen Mitarbeiterin (spricht Serbisch), die für die Anzüge zuständig ist.

Ihre Unfreundlichkeit und mangelnde Kompetenz (…die Maße wurden falsch gemessen, weshalb der bereits gekürzte Anzug wieder zur Schneiderei geschickt werden musste, da er bei der Anprobe viel zu lang war & dafür musste ich natürlich ein zweites Mal zur Abholung kommen) haben den besonderen Moment des Kaufs meines Hochzeitsanzugs zerstört.

Ich kann diese Filiale daher nicht weiterempfehlen.",de,Negative,Negative,,,,,,
Austria,Vienna,6/6/2023,4,Angebot und Service werden dem Preis nicht gerecht,de,,Negative,,,,Negative,,
Austria,Vienna,19-05-2023,5,想買皮帶當禮物送給爸爸，但不知道尺寸要怎麼挑，找店員小姐幫忙一下就找到了，非常感謝！,ko,,Positive,,,,,,
Austria,Vienna,6/5/2023,5,Große Auswahl und alles in gewünschten Größen verfügbar,de,,,Positive,,,,,
Austria,Vienna,28-04-2023,5,Fantastic shop,en,Positive,,,,,,,
Austria,Vienna,27-04-2023,1,"Contrary to the store's official opening times the staff failed to close the door at 8pm and rudely sent us away when we entered the seemingly open store. Why I am immediately addressed in English as a clearly recognisable Austrian is also beyond me. I will continue buying BOSS apparel as it is one of my favourite brands, but that particular store will not see us again.",en,Negative,Negative,,,Positive,,,
Austria,Vienna,28-03-2023,5,"Sehr gute Beratung.
Bester Mitarbeiter, war super nett und witzig. Kenne leider seinen Namen nicht 😁
Bei unserem nächsten Wien Besuch kommen wir wieder.

Liebe Grüße aus Duisburg",de,,Positive,,,,,,
Austria,Vienna,3/11/2022,4,"Vielen Dank für die immer nette und kompetente Beratung!
Ich komme gerne zum shoppen hierher.
Das einzige, was ich schade finde…. Der Fokus liegt mehr im Herren Bereich, bei den Damen ist leider die Auswahl nicht so groß. Ich schaue immer online und kaufe dann im Store. Leider bin ich schon öfters nicht fündig geworden",de,Positive,Positive,Neutral,,,,Positive,
Austria,Vienna,20-10-2022,5,"Super freundliche und kompetente Beratung, war nach 5 min wieder aus dem Geschäft und sehr happy mit meinem Kauf!",de,,Positive,,,,,,
Austria,Vienna,6/10/2022,5,Perfekt,no,,,,,,,,Positive
Austria,Vienna,16-09-2022,1,Das neue logo einfach nur eine katadtrophe,de,,,,,Negative,,,
Austria,Vienna,8/8/2022,5,The sales were terrific,en,,,,,,Positive,,
Austria,Vienna,11/3/2022,5,Like a Boss lol,et,,,,,Positive,,,
Austria,Vienna,17-11-2021,4,Sehr nettes Personal.,de,,Positive,,,,,,
Austria,Vienna,12/11/2021,5,"Like this place.
Not expensive
Very good choices",en,Positive,,Positive,,,Positive,,
Austria,Vienna,24-09-2021,5,Guter Service,en,,Positive,,,,,,
Austria,Vienna,12/9/2021,2,"Big store, small option for sizes. They literally didn't have one button down shirt for my size (45) in the entire shop...",en,Positive,,Negative,,,,,
Austria,Vienna,10/8/2021,4,Good collection. The staff can improve on their service.,en,,Negative,Positive,,,,,
Austria,Vienna,9/8/2021,5,"Sehr schöner Shop mit sehr schöner Bekleidung, der Mitarbeiter war sehr freundlich und kompetent. Habe viele Sachen von Hugo Boss und bin sehr zufrieden damit.",de,Positive,Positive,Positive,,,,,
Austria,Vienna,29-07-2021,2,Leider war der Service unzufriedenstellend. Auf Fragen bekamen wir keine bzw. falsche Antworten.,de,,Negative,,,,,,
Austria,Vienna,23-06-2021,2,Sehr unfreundlich schade,de,,Negative,,,,,,
